,average_covered_charges,average_medicare_payments,average_total_payments,drg_definition,hospital_referral_region_hrr_description,provider_city,provider_id,provider_name,provider_state,provider_street_address,provider_zip_code,total_discharges
1861,36276.98,10123.10,11460.76,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,STATEN ISLAND,330160,STATEN ISLAND UNIVERSITY HOSPITAL,NY,475 SEAVIEW AVENUE,10305,92
1862,41034.85,8503.79,9243.67,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - White Plains,MOUNT KISCO,330162,NORTHERN WESTCHESTER HOSPITAL,NY,400 EAST MAIN STREET,10549,33
1863,18175.70,7710.97,8654.73,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Buffalo,LOCKPORT,330163,EASTERN NIAGARA HOSPITAL,NY,521 EAST AVENUE,14094,64
1864,15112.03,6754.11,8552.97,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Rochester,ROCHESTER,330164,HIGHLAND HOSPITAL,NY,1000 SOUTH AVENUE,14620,36
1865,90503.84,10013.11,13693.65,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,MINEOLA,330167,WINTHROP-UNIVERSITY HOSPITAL,NY,259 FIRST STREET,11501,98
1866,51889.92,11092.86,13450.38,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,NEW YORK,330169,MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS,NY,FIRST AVENUE AT 16TH STREET,10003,86
1867,14823.04,6459.25,7576.92,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Syracuse,CORTLAND,330175,"CORTLAND REGIONAL MEDICAL CENTER, INC",NY,134 HOMER AVENUE,13045,24
1868,19615.14,5102.58,7317.78,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Albany,TROY,330180,SAMARITAN HOSPITAL,NY,2215 BURDETT AVENUE,12180,50
1869,41724.61,7864.94,9028.76,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,GLEN COVE,330181,GLEN COVE HOSPITAL,NY,101 ST ANDREWS LANE,11542,33
1870,53563.17,7387.66,8355.89,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,ROSLYN,330182,"ST FRANCIS HOSPITAL, ROSLYN",NY,100 PORT WASHINGTON BOULEVARD,11576,71
1871,30360.18,9693.24,11810.35,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Bronx,NEW ROCHELLE,330184,MONTEFIORE NEW ROCHELLE HOSPITAL,NY,16 GUION PLACE,10802,17
1872,42281.69,8015.82,9731.77,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,PORT JEFFERSON,330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,NY,75 NORTH COUNTRY ROAD,11777,77
1873,16787.24,7012.73,7974.48,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Buffalo,LEWISTON,330188,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,NY,5300 MILITARY ROAD,14092,33
1874,34704.38,6260.95,7139.36,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Albany,GLENS FALLS,330191,GLENS FALLS HOSPITAL,NY,100 PARK STREET,12801,86
1875,33614.42,12326.35,15111.27,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,FLUSHING,330193,FLUSHING HOSPITAL MEDICAL CENTER,NY,45TH AVENUE AND PARSONS BOULEVARD,11355,26
1876,37614.08,12625.24,15187.75,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,BROOKLYN,330194,MAIMONIDES MEDICAL CENTER,NY,4802 TENTH AVENUE,11219,76
1877,59638.89,11360.34,13433.56,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,NEW HYDE PARK,330195,LONG ISLAND JEWISH MEDICAL CENTER,NY,270 - 05 76TH AVENUE,11040,129
1878,51065.92,13036.40,15111.13,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,BROOKLYN,330196,CONEY ISLAND HOSPITAL,NY,2601 OCEAN PARKWAY,11235,52
1879,16507.78,7128.04,7982.56,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,VT - Burlington,POTSDAM,330197,CANTON-POTSDAM HOSPITAL,NY,50 LEROY STREET,13676,27
1880,48361.00,8757.48,10217.16,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,OCEANSIDE,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,NY,ONE HEALTHY WAY,11572,135
1881,34913.36,19171.45,20856.73,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,NEW YORK,330199,METROPOLITAN HOSPITAL CENTER,NY,1901 FIRST AVENUE,10029,11
1882,40810.58,10514.05,12209.29,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,BROOKLYN,330201,KINGSBROOK JEWISH MEDICAL CENTER,NY,585 SCHENECTADY AVENUE,11203,38
1883,46197.63,18301.00,21650.25,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,BROOKLYN,330202,KINGS COUNTY HOSPITAL CENTER,NY,451 CLARKSON AVENUE,11203,16
1884,14806.74,7230.76,8805.26,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Syracuse,SYRACUSE,330203,CROUSE HOSPITAL,NY,736 IRVING AVENUE,13210,58
1885,30774.84,16368.64,17852.00,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,NEW YORK,330204,BELLEVUE HOSPITAL CENTER,NY,462 FIRST AVENUE,10016,25
1886,63553.03,7875.84,8941.70,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NJ - Ridgewood,WARWICK,330205,ST ANTHONY COMMUNITY HOSPITAL,NY,15 - 19  MAPLE AVENUE,10990,37
1887,32777.54,9636.63,11073.00,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - White Plains,YONKERS,330208,ST JOHN'S RIVERSIDE HOSPITAL,NY,976 NORTH BROADWAY,10701,54
1888,14259.22,7401.52,8210.41,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Syracuse,OGDENSBURG,330211,CLAXTON-HEPBURN MEDICAL CENTER,NY,214 KING STREET,13669,27
1889,47974.64,10905.09,13280.78,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,NEW YORK,330214,NYU HOSPITALS CENTER,NY,550 FIRST AVENUE,10016,96
1890,19044.95,6334.15,7195.83,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Syracuse,ROME,330215,"ROME MEMORIAL HOSPITAL, INC",NY,1500 NORTH JAMES STREET,13440,40
1891,17043.60,6800.07,7869.67,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Syracuse,OSWEGO,330218,OSWEGO HOSPITAL,NY,110 WEST SIXTH STREET,13126,30
1892,15313.36,9965.82,12568.61,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Buffalo,BUFFALO,330219,ERIE COUNTY MEDICAL CENTER,NY,462 GRIDER STREET,14215,28
1893,38847.00,12461.50,14600.32,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,BROOKLYN,330221,WYCKOFF HEIGHTS MEDICAL CENTER,NY,374 STOCKHOLM STREET,11237,22
1894,35423.71,5894.62,6583.31,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Albany,SARATOGA SPRINGS,330222,SARATOGA HOSPITAL,NY,211 CHURCH STREET,12866,52
1895,11622.36,7542.41,8528.77,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,VT - Burlington,MASSENA,330223,MASSENA MEMORIAL HOSPITAL,NY,1 HOSPITAL DRIVE,13662,22
1896,14557.00,6836.53,8165.79,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Rochester,ROCHESTER,330226,UNITY HOSPITAL OF ROCHESTER,NY,1555 LONG POND ROAD,14626,19
1897,22160.75,7144.60,8103.60,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Buffalo,DUNKIRK,330229,BROOKS MEMORIAL HOSPITAL,NY,529 CENTRAL AVENUE,14048,20
1898,39440.14,16411.11,18330.21,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,JAMAICA,330231,QUEENS HOSPITAL CENTER,NY,82-68 164TH STREET,11432,28
1899,34127.79,6354.97,7264.24,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Albany,TROY,330232,ST MARY'S HOSPITAL ( TROY ),NY,1300 MASSACHUSETTS AVENUE,12180,38
1900,22562.30,12829.95,14985.12,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,BROOKLYN,330233,BROOKDALE HOSPITAL MEDICAL CENTER,NY,1 BROOKDALE PLAZA,11212,43
1901,98749.00,14083.78,15968.60,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - White Plains,VALHALLA,330234,WESTCHESTER MEDICAL CENTER,NY,100 WOODS RD,10595,45
1902,14262.33,7563.41,8339.21,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Syracuse,AUBURN,330235,AUBURN MEMORIAL HOSPITAL,NY,17 LANSING STREET,13021,99
1903,32789.78,10734.60,12789.78,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,BROOKLYN,330236,NEW YORK METHODIST HOSPITAL,NY,506 SIXTH STREET,11215,86
1904,11660.22,6758.50,7609.39,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Rochester,DANSVILLE,330238,NICHOLAS H NOYES MEMORIAL HOSPITAL,NY,111  CLARA BARTON STREET,14437,18
1905,11441.20,5945.47,7169.40,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,PA - Erie,JAMESTOWN,330239,WOMAN'S CHRISTIAN ASSOCIATION,NY,207 FOOTE AVENUE,14701,30
1906,25903.19,17372.10,19224.67,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,NEW YORK,330240,HARLEM HOSPITAL CENTER,NY,506 LENOX AVENUE,10037,21
1907,29542.51,9118.91,10735.74,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Syracuse,SYRACUSE,330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,NY,750 EAST ADAMS STREET,13210,78
1908,30704.90,7016.34,8795.04,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Elmira,UTICA,330245,ST ELIZABETH MEDICAL CENTER,NY,2209 GENESEE STREET,13501,67
1909,56516.89,8897.37,9781.67,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,PORT JEFFERSON,330246,ST CHARLES HOSPITAL,NY,200 BELLE TERRE ROAD,11777,27
1910,31495.04,9552.75,10329.65,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,VT - Burlington,PLATTSBURGH,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,NY,75 BEEKMAN STREET,12901,55
1911,57032.21,8533.66,9504.24,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,ROCKVILLE CENTRE,330259,MERCY MEDICAL CENTER,NY,1000 NORTH VILLAGE AVENUE,11570,38
1912,43490.92,8319.92,11753.42,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - White Plains,SLEEPY HOLLOW,330261,PHELPS MEMORIAL HOSPITAL ASSN,NY,701 NORTH BROADWAY,10591,12
1913,39767.62,8975.62,9917.86,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - White Plains,NEWBURGH,330264,ST LUKE'S CORNWALL HOSPITAL,NY,70 DUBOIS STREET,12550,66
1914,40826.65,7544.63,8715.33,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - White Plains,CORTLANDT MANOR,330267,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,NY,1980 CROMPOND ROAD,10567,49
1915,27925.49,6832.60,8282.97,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,CT - New Haven,CARMEL,330273,PUTNAM HOSPITAL CENTER,NY,670 STONELEIGH AVENUE,10512,63
1916,16945.00,5625.46,6789.00,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,PA - Sayre,CORNING,330277,CORNING HOSPITAL,NY,1 GUTHRIE DRIVE,14830,35
1917,25792.53,6653.00,8136.60,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Buffalo,BUFFALO,330279,MERCY HOSPITAL OF BUFFALO,NY,565 ABBOTT ROAD,14220,58
1918,18634.87,9272.60,11641.47,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Rochester,ROCHESTER,330285,STRONG MEMORIAL HOSPITAL,NY,601 ELMWOOD AVE,14642,45
1919,60650.86,8677.60,10091.12,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,WEST ISLIP,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,NY,1000 MONTAUK HIGHWAY,11795,170
1920,33079.23,7752.72,8742.22,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - White Plains,WHITE PLAINS,330304,WHITE PLAINS HOSPITAL CENTER,NY,41 EAST POST R0AD,10601,95
1921,59508.80,14010.33,17058.07,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,BROOKLYN,330306,LUTHERAN MEDICAL CENTER,NY,150 55TH STREET,11220,15
1922,13847.07,6554.67,7663.47,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Rochester,ITHACA,330307,CAYUGA MEDICAL CENTER AT ITHACA,NY,101 DATES DRIVE,14850,15
1923,46316.11,8520.28,10401.70,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,PLAINVIEW,330331,PLAINVIEW HOSPITAL,NY,888 OLD COUNTRY ROAD,11803,64
1924,45559.45,7126.63,8443.33,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,BETHPAGE,330332,ST JOSEPH HOSPITAL,NY,4295 HEMPSTEAD TURNPIKE,11714,67
1925,32513.22,9809.57,11943.61,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,SOUTHAMPTON,330340,SOUTHAMPTON HOSPITAL,NY,240 MEETING HOUSE LANE,11968,23
1926,29706.41,13464.27,17536.45,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,BROOKLYN,330350,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),NY,445 LENOX ROAD,11203,22
1927,54682.96,10460.57,11531.70,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,FOREST HILLS,330353,FOREST HILLS HOSPITAL,NY,102 - 01 66TH ROAD,11375,23
1928,30591.17,8558.40,9327.47,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Albany,HARRIS,330386,CATSKILL REGIONAL MEDICAL CENTER,NY,68 HARRIS BUSHVILLE ROAD,12742,30
1929,37246.02,10614.87,12821.15,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,STONY BROOK,330393,UNIVERSITY HOSPITAL ( STONY BROOK ),NY,HEALTH SCIENCES CENTER SUNY,11794,53
1930,18906.31,6443.44,7984.04,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Binghamton,BINGHAMTON,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",NY,10-42 MITCHELL AVENUE,13903,94
1931,42932.61,12682.98,16552.61,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,FAR ROCKAWAY,330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,327 BEACH 19TH STREET,11691,46
1932,28061.17,18587.33,20344.33,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - Manhattan,BROOKLYN,330396,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,NY,760 BROADWAY,11206,12
1933,61482.65,7127.85,8469.23,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,NY - East Long Island,SMITHTOWN,330401,ST CATHERINE OF SIENA HOSPITAL,NY,50 ROUTE 25A,11787,65
1934,15142.69,4291.77,5622.38,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Albany,ALBANY,330003,ALBANY MEMORIAL HOSPITAL,NY,600 NORTHERN BOULEVARD,12204,13
1935,33138.85,5065.28,6462.59,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Albany,KINGSTON,330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,NY,396 BROADWAY,12401,68
1936,15783.71,6989.68,8771.93,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Buffalo,BUFFALO,330005,KALEIDA HEALTH,NY,"726 EXCHANGE STREET, SUITE 522",14210,87
1937,13043.82,8766.18,9913.06,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - White Plains,YONKERS,330006,ST JOSEPH'S MEDICAL CENTER,NY,127 SOUTH BROADWAY,10701,34
1938,10990.38,14865.55,16259.66,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Bronx,BRONX,330009,BRONX-LEBANON HOSPITAL CENTER,NY,1276 FULTON AVENUE,10456,29
1939,10415.83,4478.55,5472.38,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Binghamton,BINGHAMTON,330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",NY,169 RIVERSIDE DRIVE,13905,40
1940,22530.43,6290.43,7801.86,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Albany,ALBANY,330013,ALBANY MEDICAL CENTER HOSPITAL,NY,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",12208,28
1941,21813.30,11033.85,12540.35,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - East Long Island,JAMAICA,330014,JAMAICA HOSPITAL MEDICAL CENTER,NY,89TH AVENUE AND VAN WYCK EXPRESSWAY,11418,20
1942,30268.71,7564.13,8341.09,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Manhattan,BROOKLYN,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",NY,2525 KINGS HIGHWAY,11229,45
1943,28431.92,6125.04,7076.47,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Albany,POUGHKEEPSIE,330023,VASSAR BROTHERS MEDICAL CENTER,NY,45 READE PLACE,12601,49
1944,21861.12,9329.78,11614.95,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Manhattan,NEW YORK,330024,MOUNT SINAI HOSPITAL,NY,ONE GUSTAVE L LEVY PLACE,10029,93
1945,28020.40,11195.25,13030.60,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - East Long Island,EAST MEADOW,330027,NASSAU UNIVERSITY MEDICAL CENTER,NY,2201 HEMPSTEAD TURNPIKE,11554,20
1946,29092.33,9739.83,10974.54,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Manhattan,STATEN ISLAND,330028,RICHMOND UNIVERSITY MEDICAL CENTER,NY,355 BARD AVENUE,10304,24
1947,13604.31,4673.06,5558.17,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Rochester,NEWARK,330030,NEWARK-WAYNE COMMUNITY HOSPITAL,NY,111 DRIVING PARK AVENUE,14513,36
1948,18431.19,6306.94,6945.69,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Binghamton,NORWICH,330033,"CHENANGO MEMORIAL HOSPITAL, INC",NY,179 NORTH BROAD STREET,13815,16
1949,41315.58,7090.42,8267.24,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - East Long Island,BAY SHORE,330043,SOUTHSIDE HOSPITAL,NY,301 EAST MAIN STREET,11706,45
1950,18595.19,4917.61,5917.69,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Elmira,UTICA,330044,FAXTON-ST LUKE'S HEALTHCARE,NY,1656 CHAMPLIN AVENUE,13503,54
1951,37271.89,6002.09,6803.00,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - East Long Island,HUNTINGTON,330045,HUNTINGTON HOSPITAL,NY,270 PARK AVENUE,11743,76
1952,37140.63,9785.79,11473.88,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Manhattan,NEW YORK,330046,MOUNT SINAI WEST,NY,1000 TENTH AVENUE,10019,24
1953,14877.42,4986.81,6301.58,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Albany,AMSTERDAM,330047,ST MARY'S HOSPITAL AT AMSTERDAM,NY,427 GUY PARK AVENUE,12010,36
1954,28970.36,5709.27,6528.91,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Albany,RHINEBECK,330049,NORTHERN DUTCHESS HOSPITAL,NY,6511 SPRINGBROOK AVENUE,12572,11
1955,45202.14,9151.23,10822.98,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - East Long Island,FLUSHING,330055,NEW YORK-PRESBYTERIAN/QUEENS,NY,56-45 MAIN STREET,11355,43
1956,47145.74,11216.44,13684.59,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Manhattan,BROOKLYN,330056,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,NY,121 DEKALB AVENUE,11201,27
1957,23719.96,4562.01,6124.43,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Albany,ALBANY,330057,ST PETER'S HOSPITAL,NY,315 SOUTH MANNING BOULEVARD,12208,95
1958,18595.10,4319.39,5615.59,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Rochester,GENEVA,330058,GENEVA GENERAL HOSPITAL,NY,196 -198 NORTH STREET,14456,41
1959,52145.96,11505.15,13914.05,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Bronx,BRONX,330059,MONTEFIORE MEDICAL CENTER,NY,111 EAST 210TH STREET,10467,170
1960,33544.60,5891.09,7683.51,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - White Plains,BRONXVILLE,330061,LAWRENCE HOSPITAL CENTER,NY,55 PALMER AVENUE,10708,55
1961,9057.96,5297.15,6732.56,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Buffalo,BATAVIA,330073,UNITED MEMORIAL MEDICAL CENTER,NY,127 NORTH STREET,14020,27
1962,12004.92,4013.15,4900.54,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Rochester,CANANDAIGUA,330074,F F THOMPSON HOSPITAL,NY,350 PARRISH STREET,14424,26
1963,27535.82,6779.47,9837.53,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Buffalo,BUFFALO,330078,SISTERS OF CHARITY HOSPITAL,NY,2157 MAIN STREET,14214,49
1964,16534.39,16778.73,17967.48,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Bronx,BRONX,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,NY,234 EAST 149TH STREET,10451,33
1965,11578.05,4913.83,5699.16,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Binghamton,ONEONTA,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,NY,ONE NORTON AVENUE,13820,63
1966,27781.87,7840.70,9302.61,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - White Plains,MOUNT VERNON,330086,MONTEFIORE MOUNT VERNON HOSPITAL,NY,12 NORTH 7TH AVENUE,10550,23
1967,17993.18,5055.29,5962.93,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Elmira,ELMIRA,330090,ARNOT OGDEN MEDICAL CENTER,NY,600 ROE AVENUE,14905,55
1968,15076.19,5127.29,6162.43,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Albany,HUDSON,330094,COLUMBIA MEMORIAL HOSPITAL,NY,71 PROSPECT AVENUE,12534,42
1969,15362.83,5225.61,6171.52,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Rochester,WELLSVILLE,330096,JONES MEMORIAL HOSPITAL,NY,191 NORTH MAIN STREET,14895,23
1970,49124.07,9463.86,12192.35,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Manhattan,NEW YORK,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NY,525 EAST 68TH STREET,10065,125
1971,23266.73,4902.27,5833.91,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Buffalo,KENMORE,330102,KENMORE MERCY HOSPITAL,NY,2950 ELMWOOD AVENUE,14217,11
1972,12834.77,4446.21,5427.40,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Buffalo,OLEAN,330103,OLEAN GENERAL HOSPITAL,NY,515 MAIN STREET,14760,48
1973,49650.45,6460.62,7427.94,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NJ - Hackensack,NYACK,330104,NYACK HOSPITAL,NY,160 NORTH MIDLAND AVENUE,10960,53
1974,59528.28,7776.18,9828.11,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - East Long Island,MANHASSET,330106,NORTH SHORE UNIVERSITY HOSPITAL,NY,300 COMMUNITY DRIVE,11030,79
1975,29854.75,7004.39,8123.47,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - East Long Island,RIVERHEAD,330107,PECONIC BAY MEDICAL CENTER,NY,1300 ROANOKE AVENUE,11901,57
1976,17595.33,5449.78,6455.44,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Syracuse,ONEIDA,330115,ONEIDA HEALTHCARE,NY,321 GENESEE STREET,13421,18
1977,61783.10,8101.70,9825.87,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Manhattan,NEW YORK,330119,LENOX HILL HOSPITAL,NY,100 EAST 77TH STREET,10021,30
1978,12757.02,5614.38,6546.89,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - Rochester,ROCHESTER,330125,ROCHESTER GENERAL HOSPITAL,NY,1425 PORTLAND AVENUE,14621,55
1979,39880.06,6333.88,7304.84,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,NY - White Plains,MIDDLETOWN,330126,ORANGE REGIONAL MEDICAL CENTER,NY,707 EAST MAIN STREET,10940,103
